,melyseg,csucs_ellenallas,palast_ellenallas,porus_viznyomas,surlodasi_aranyszam
137,2.74,43.261,0.17526,0.0,0.405
138,2.76,42.496,0.19708,0.0,0.459
139,2.78,41.298,0.30201,0.0,0.73
140,2.8,41.083,0.30643,0.0,0.742
141,2.82,41.073,0.28434,0.0,0.699
142,2.84,42.659,0.25291,0.0,0.6
143,2.86,43.35,0.32038,0.0,0.744
144,2.88,42.792,0.32101,0.0,0.744
145,2.9,41.429,0.30841,0.0,0.733
146,2.92,41.238,0.27615,0.0,0.664
147,2.94,40.712,0.2417,0.0,0.59
148,2.96,40.518,0.21656,0.0,0.521
149,2.98,39.838,0.2085,0.0,0.515
150,3.0,38.664,0.18956,0.0,0.475
151,3.02,38.397,0.17062,0.0,0.434
152,3.04,38.13,0.17025,0.0,0.44
153,3.06,37.863,0.14603,0.0,0.381
154,3.08,35.78,0.11616,0.0,0.32
155,3.1,34.979,0.11696,0.0,0.329
156,3.12,34.265,0.07736,0.0,0.218
157,3.14,33.551,0.12971,0.0,0.365
158,3.16,33.5,0.18197,0.0,0.549
159,3.18,32.939,0.1678,0.0,0.503
160,3.2,32.007,0.15133,0.0,0.468
161,3.22,31.748,0.20514,0.0,0.644
162,3.24,31.285,0.20723,0.0,0.652
163,3.26,29.227,0.22243,0.0,0.755
164,3.28,29.194,0.19815,0.0,0.676
165,3.3,28.76,0.1664,0.0,0.571
166,3.32,28.069,0.19915,0.0,0.712
167,3.34,28.34,0.24234,0.0,0.857
168,3.36,28.708,0.21668,0.0,0.753
169,3.38,29.757,0.21658,0.0,0.74
170,3.4,28.772,0.18507,0.0,0.635
171,3.42,29.443,0.17341,0.0,0.59
172,3.44,30.073,0.16657,0.0,0.562
173,3.46,30.42,0.16331,0.0,0.535
174,3.48,31.094,0.15909,0.0,0.512
175,3.5,31.653,0.16581,0.0,0.528
176,3.52,31.376,0.16733,0.0,0.531
177,3.54,32.005,0.14236,0.0,0.444
178,3.56,32.675,0.10951,0.0,0.336
179,3.58,32.018,0.12376,0.0,0.383
180,3.6,31.087,0.08977,0.0,0.285
181,3.62,31.094,0.09705,0.0,0.314
182,3.64,31.169,0.1018,0.0,0.321
183,3.66,30.911,0.11679,0.0,0.379
184,3.68,29.329,0.11761,0.0,0.397
185,3.7,28.885,0.11088,0.0,0.378
186,3.72,29.716,0.10414,0.0,0.358
187,3.74,29.117,0.11185,0.0,0.386
188,3.76,29.473,0.10992,0.0,0.371
189,3.78,28.815,0.12217,0.0,0.422
190,3.8,27.922,0.10999,0.0,0.384
191,3.82,26.957,0.12701,0.0,0.443
192,3.84,25.991,0.12253,0.0,0.441
193,3.86,26.314,0.12652,0.0,0.474
194,3.88,26.76,0.11657,0.0,0.439
195,3.9,26.77,0.1121,0.0,0.417
196,3.92,24.736,0.10436,0.0,0.414
197,3.94,23.962,0.09661,0.0,0.401
198,3.96,23.432,0.10412,0.0,0.444
199,3.98,23.556,0.08187,0.0,0.348
200,4.0,24.454,0.09169,0.0,0.376
