,melyseg,az_talajnem,az_jel,az_szin,al_talajtipus,al_allapot,al_szin
720,14.4,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
721,14.42,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
722,14.44,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
723,14.46,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
724,14.48,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
725,14.5,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
726,14.52,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
727,14.54,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
728,14.56,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
729,14.58,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
730,14.6,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
731,14.62,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
732,14.64,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
733,14.66,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,kemény,#1f7a7a
734,14.68,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,tömör,#52607a
735,14.7,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,tömör,#52607a
736,14.72,iszapos HOMOK - homokos ISZAP,siSa-saSi,#b4c270,1.0,közepesen tömör,#8593ad
737,14.74,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,kemény,#1f7a7a
738,14.76,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,kemény,#1f7a7a
739,14.78,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,kemény,#1f7a7a
740,14.8,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,kemény,#1f7a7a
741,14.82,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,nagyon merev,#158a0f
742,14.84,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
743,14.86,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,nagyon merev,#158a0f
744,14.88,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,kemény,#1f7a7a
745,14.9,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,kemény,#1f7a7a
746,14.92,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,kemény,#1f7a7a
747,14.94,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,kemény,#1f7a7a
748,14.96,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,kemény,#1f7a7a
749,14.98,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,kemény,#1f7a7a
750,15.0,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,kemény,#1f7a7a
751,15.02,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,laza,#b3bbcc
752,15.04,iszapos HOMOK - homokos ISZAP,siSa-saSi,#b4c270,1.0,laza,#b3bbcc
